segment_index,start_sec,end_sec,predicted_symbol,distance,confidence,top1,top2,top3
0,0.000,1.620,7,0.000007,0.500012,7:0.000007,9:0.000013,4:0.000021
1,1.740,3.420,4,0.000010,0.499997,4:0.000010,9:0.000011,7:0.000017
2,3.540,5.040,9,0.000018,0.499995,5:0.000018,9:0.000019,0:0.000022
3,5.160,6.540,5,0.000005,0.500044,5:0.000005,4:0.000023,9:0.000028
4,6.660,7.980,9,0.000019,0.499999,9:0.000019,7:0.000023,4:0.000028
5,8.100,9.540,5,0.000005,0.500023,5:0.000005,9:0.000015,4:0.000016
6,9.660,11.520,7,0.000007,0.500009,7:0.000007,4:0.000012,5:0.000018
7,11.640,13.080,0,0.000000,0.500106,0:0.000000,5:0.000042,4:0.000057
8,13.200,14.580,4,0.000044,0.499978,4:0.000044,9:0.000044,7:0.000047
9,14.700,16.800,4,0.000028,0.499991,0:0.000028,5:0.000030,4:0.000041
10,16.920,18.480,4,0.000012,0.500000,4:0.000012,5:0.000014,9:0.000025
