symbol_index,rank,letter,proximity,profile_proximity,final_score
0,1,ყ,0.9241411609654389,0.9241411609654389,0.9241411609654389
0,2,გ,0.9189345109572894,0.9189345109572894,0.9189345109572894
0,3,მ,0.9135272208779521,0.9135272208779521,0.9135272208779521
0,4,ვ,0.8877404121598766,0.8877404121598766,0.8877404121598766
0,5,ც,0.8777424545277237,0.8777424545277237,0.8777424545277237
0,6,ტ,0.863114664305658,0.863114664305658,0.863114664305658
0,7,ე,0.8559426470973397,0.8559426470973397,0.8559426470973397
0,8,ზ,0.8334803097403012,0.8334803097403012,0.8334803097403012
0,9,ჟ,0.8282789944564808,0.8282789944564808,0.8282789944564808
0,10,უ,0.8156081160588831,0.8156081160588831,0.8156081160588831
0,11,შ,0.8129944192092888,0.8129944192092888,0.8129944192092888
0,12,ჯ,0.802313770685653,0.802313770685653,0.802313770685653
0,13,ნ,0.7705495372168674,0.7705495372168674,0.7705495372168674
0,14,წ,0.7560486212041367,0.7560486212041367,0.7560486212041367
0,15,ჩ,0.7433368370919133,0.7433368370919133,0.7433368370919133
0,16,ბ,0.7345733977844222,0.7345733977844222,0.7345733977844222
0,17,ძ,0.7174515919337032,0.7174515919337032,0.7174515919337032
0,18,ა,0.668058760476975,0.668058760476975,0.668058760476975
0,19,ჰ,0.6493576767366216,0.6493576767366216,0.6493576767366216
0,20,ხ,0.6308848480558062,0.6308848480558062,0.6308848480558062
0,21,ჭ,0.6285645081640012,0.6285645081640012,0.6285645081640012
0,22,ღ,0.6043618884482251,0.6043618884482251,0.6043618884482251
0,23,პ,0.5950394098883005,0.5950394098883005,0.5950394098883005
0,24,რ,0.5801846000591688,0.5801846000591688,0.5801846000591688
0,25,კ,0.5733258929064202,0.5733258929064202,0.5733258929064202
0,26,თ,0.5641254466673188,0.5641254466673188,0.5641254466673188
0,27,ს,0.5465729271314166,0.5465729271314166,0.5465729271314166
0,28,ქ,0.5453469376349958,0.5453469376349958,0.5453469376349958
0,29,ლ,0.5196923280669574,0.5196923280669574,0.5196923280669574
0,30,დ,0.4789436028958842,0.4789436028958842,0.4789436028958842
0,31,ო,0.47641501874578107,0.47641501874578107,0.47641501874578107
0,32,ფ,0.4210182487064966,0.4210182487064966,0.4210182487064966
0,33,ი,0.4201168900824386,0.4201168900824386,0.4201168900824386
1,1,ი,0.8889874756120054,0.8889874756120054,0.8889874756120054
1,2,დ,0.8138621452558428,0.8138621452558428,0.8138621452558428
1,3,ფ,0.7543392250436738,0.7543392250436738,0.7543392250436738
1,4,რ,0.7128232467466697,0.7128232467466697,0.7128232467466697
1,5,ღ,0.6753161045122054,0.6753161045122054,0.6753161045122054
1,6,წ,0.602843966599167,0.602843966599167,0.602843966599167
1,7,ც,0.5935348085924855,0.5935348085924855,0.5935348085924855
1,8,შ,0.5901008691684007,0.5901008691684007,0.5901008691684007
1,9,მ,0.5784910429909014,0.5784910429909014,0.5784910429909014
1,10,ნ,0.5694587437696652,0.5694587437696652,0.5694587437696652
1,11,ზ,0.5459243377422154,0.5459243377422154,0.5459243377422154
1,12,გ,0.5052673276279194,0.5052673276279194,0.5052673276279194
1,13,ჩ,0.5022448634824417,0.5022448634824417,0.5022448634824417
1,14,ტ,0.490724348755192,0.490724348755192,0.490724348755192
1,15,თ,0.4904173211616364,0.4904173211616364,0.4904173211616364
1,16,ყ,0.4894874442638204,0.4894874442638204,0.4894874442638204
1,17,ა,0.486447883377092,0.486447883377092,0.486447883377092
1,18,ო,0.4850526216836951,0.4850526216836951,0.4850526216836951
1,19,ჟ,0.48006281599116285,0.48006281599116285,0.48006281599116285
1,20,ვ,0.4517267233613177,0.4517267233613177,0.4517267233613177
1,21,უ,0.449332926038743,0.449332926038743,0.449332926038743
1,22,ე,0.4179059876700476,0.4179059876700476,0.4179059876700476
1,23,ლ,0.3763842393838117,0.3763842393838117,0.3763842393838117
1,24,ბ,0.35064165048763196,0.35064165048763196,0.35064165048763196
1,25,ჯ,0.3472263439084162,0.3472263439084162,0.3472263439084162
1,26,ხ,0.34686920905445595,0.34686920905445595,0.34686920905445595
1,27,ძ,0.3350138777614693,0.3350138777614693,0.3350138777614693
1,28,ს,0.24794337442464953,0.24794337442464953,0.24794337442464953
1,29,ჰ,0.22686294531882267,0.22686294531882267,0.22686294531882267
1,30,ჭ,0.17642488274846346,0.17642488274846346,0.17642488274846346
1,31,პ,0.16980333985599771,0.16980333985599771,0.16980333985599771
1,32,კ,0.15008400938712307,0.15008400938712307,0.15008400938712307
1,33,ქ,0.09581717203519902,0.09581717203519902,0.09581717203519902
2,1,ყ,0.9240348170617549,0.9240348170617549,0.9240348170617549
2,2,ე,0.8913278483447303,0.8913278483447303,0.8913278483447303
2,3,ვ,0.8837019680585677,0.8837019680585677,0.8837019680585677
2,4,ჯ,0.8647103843489765,0.8647103843489765,0.8647103843489765
2,5,ტ,0.8551415002832823,0.8551415002832823,0.8551415002832823
