rank,energy_relative,t_start_sec,t_end_sec,f_start_hz,f_end_hz
1,0.0010892118293797071,5.433469387755102,5.53795918367347,472.763671875,517.763671875
2,0.0010796570095171014,0.10448979591836735,0.20897959183673467,472.763671875,517.763671875
3,0.0009913358874042081,7.5232653061224495,7.627755102040817,472.763671875,517.763671875
4,0.00098753568781411,2.1942857142857144,2.298775510204081,472.763671875,517.763671875
5,0.0009310925851238164,2.089795918367347,2.194285714285714,472.763671875,517.763671875
6,0.000910637647702846,7.418775510204082,7.5232653061224495,472.763671875,517.763671875
7,0.0008454168675549957,7.627755102040816,7.732244897959184,472.763671875,517.763671875
8,0.0008287996197145912,2.2987755102040817,2.403265306122449,472.763671875,517.763671875
9,0.0007818562001102021,0.0,0.10448979591836735,472.763671875,517.763671875
10,0.0007525217519962488,7.836734693877552,7.941224489795919,472.763671875,517.763671875
